,persona,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
312,i love to play board games. my parents were also teachers. my favorite band is up and i got to see them in concert once. for vacation i enjoy time at the beach.,probably high,no clues,no clues,no clues,probably high
145,i own a house in florida. i work in it and have been at the same company for 15 years. i enjoy american sports. i have a children and a dogs.,no clues,probably high,no clues,probably low,no clues
407,i have been retired for a years. i go gambling in my spare time. i move south during the winter. i like to grill outdoors.,no clues,probably low,probably low,no clues,no clues
265,i enjoy coloring books. i live is a rural farming community. i have a german shepherd dog. my husband is adopted.,probably high,no clues,no clues,probably high,no clues
224,i enjoy american sports. i own a house in florida. i am a male. i have a children and a dogs.,no clues,probably high,no clues,no clues,no clues
259,i am an avid kayaker. i am also a graduate student. i enjoy reading journals and guides related to psychology. my parents taught me survival skills. i walk dogs for a living.,probably high,probably high,no clues,no clues,probably low
17,i am a recording engineer and own my own studio. my ex cheated and left me for a lawyer. whats up i am a 46 year old single dad 46 a kids. i live in california but the recording artist market was dead last year. i prefer being inside.,probably high,no clues,probably low,no clues,no clues
175,i enjoy gardening and walking outdoors. i have a dogs. i work as a school teacher. i am a woman.,probably high,probably high,probably high,probably high,probably high
212,i grow roses in my garden. i have a big library at home. i am a museum tour guide. i love to drink fancy tea.,probably high,no clues,no clues,probably high,no clues
180,i am a cancer survivor. my parents were both very athletic. i love running and preparing for marathons. i got a new job just yesterday to be a life coach.,probably high,probably high,no clues,probably high,probably low
170,i enjoy sports such as running. i am a vegetarian. my favorite color is blue. i am married. i am a woman.,no clues,probably high,no clues,probably high,no clues
241,my bedroom is purple and lime green. i like riding horses. i will graduate from high school in two years. i am a vegan.,probably high,no clues,no clues,probably high,no clues
324,i speak chinese. my father is an electrician. i play ping pong. i love chocolate bars.,probably low,no clues,probably low,no clues,no clues
48,i am a party animal. my favorite movie is mean girls. i am deathly afraid of heights. i own a cat and a dog.,no clues,no clues,probably high,no clues,no clues
82,i feel like i might live forever. i am 100 years old. i love to drink wine and dance in the moonlight. i remember when nobody had a television. i am very strong for my age.,probably high,no clues,probably high,no clues,probably low
18,i am terrified of scorpions. i am employed by the us postal service. i have a german shepherd named barnaby. my father drove a car for nascar.,no clues,probably high,no clues,no clues,probably high
125,i have been working since i was sixteen years old. in my free time i like to watch nascar racing and ufc. my favorite band is aerosmith. my favorite food is mexican food.,no clues,probably high,no clues,no clues,no clues
60,when i grow up i want to be a dog. i like to look at blocks and sing about letters. i like to eat chocolate candy. i like to talk but people have a hard time understanding.,probably low,no clues,probably low,probably low,no clues
1,i have two dogs. i like to work on vintage cars. my favorite music is country. i own two vintage mustangs.,probably low,probably high,no clues,no clues,no clues
310,my favorite type of music to sing is folk music. i am a musician and hope to make it big some day. i play the piano and guitar and sing. my parents are not very supportive of my dream.,probably high,no clues,probably high,no clues,no clues
304,my dream car is a rolls royce ghost. i like shopping. my family does not support my career choices. i currently work for a watch dealer.,probably low,no clues,no clues,probably low,no clues
287,i am expecting triplets in three months. i recently moved to this country. a already have a step children. i work at a school.,no clues,probably high,no clues,probably high,probably low
345,i am married with two kids. i eat a raw diet. i see the rolling stones in concert every year. i just bought a house recently.,probably high,probably high,probably high,no clues,no clues
389,i did not graduate high school. i live in canada. my grandfather served in world war a. my favourite food is shawarma.,probably low,no clues,no clues,probably high,probably low
306,my name is george. i have zero family that i am close to. my favorite food is papaya. i married a super model from italy.,probably low,no clues,probably high,no clues,probably low
159,my grandfather served in world war a. i am in the army. i did not graduate high school. i live in canada.,no clues,probably high,no clues,probably high,no clues
195,i graduated from yale in 2011 with a degree in finance. my parents are very wealthy bankers. i grew up in manhattan. i plan to go to business school next year. i drive a bmw.,no clues,probably high,no clues,no clues,probably low
279,i am a cancer survivor. i got a new job just yesterday to be a life coach. i am a clean eater. i love running and preparing for marathons.,probably high,probably high,no clues,no clues,probably low
68,a already have a step children. i recently moved to this country. i just moved into my first home. i am expecting triplets in three months.,no clues,probably high,no clues,probably high,probably low
201,i am terrified of scorpions. my favorite color is grey. i am employed by the us postal service. my father drove a car for nascar.,no clues,probably high,no clues,no clues,probably high
374,i am a recluse. i have an allergy to water. i am working on a building a robot to be my body double. i am a famous twitch streamer.,probably high,no clues,probably low,no clues,no clues
293,i have one brother. i like tacos. i have three sisters. i love dogs.,no clues,probably low,no clues,probably high,no clues
130,i got a new job just yesterday to be a life coach. i love running and preparing for marathons. i am a clean eater. i am a cancer survivor. my parents were both very athletic.,probably high,probably high,no clues,probably high,no clues
152,i have a black lab named trooper. my favorite activity is rock climbing. i am a mechanical engineer. i like to go hiking in the spring. i live in colorado.,no clues,probably high,no clues,probably high,no clues
0,i read twenty books a year. i am a stunt double as my second job. i only eat kosher. i was raised in a single parent household.,probably high,no clues,no clues,no clues,no clues
58,i am interested in photography and like taking pictures. i am fluent in english spanish and french. i am an elementary school teacher. my favorite colors are red and silver. my boyfriend and i are moving into an apartment together next week.,probably high,no clues,no clues,probably high,probably low
92,i love to go to disney world every year. mickey mouse is my favorite character. i play with my friends on the playground. i am in the third grade.,no clues,probably low,probably high,no clues,probably low
321,my favorite color is blue. i enjoy sports such as running. i am married. i am a vegetarian.,no clues,probably high,no clues,probably high,no clues
317,my favorite music genre is death metal. i am a swim coach at my local pool. my mother is very traditional while i prefer to be more free spirited. my family and i are from india.,probably high,no clues,no clues,probably low,no clues
196,i like to play chess. i do not drink alcohol. i am in my thirties. i am single and with two dogs.,probably low,probably high,no clues,probably high,probably low
24,my favorite food is mexican food. i am a construction worker. my favorite band is aerosmith. i have been working since i was sixteen years old.,probably low,probably high,no clues,no clues,no clues
98,i won homecoming queen this year. my current goal is to run a k. when i grow up i want to be a physical therapist. i am currently in high school.,no clues,probably high,probably high,no clues,probably low
325,i have a german shepherd named barnaby. i am employed by the us postal service. my father drove a car for nascar. my favorite color is grey.,no clues,probably high,no clues,no clues,no clues
388,i like playing basketball. i have one older sister. my mother is a dentist. my favourite artist is travis scott.,probably low,no clues,no clues,no clues,no clues
47,i am 13 years old. i ride the bus to school. my brother is older than me. i hate math class. i am on the soccer team.,no clues,probably low,no clues,probably high,no clues
192,i love to cook paella. i am an art major in college. i visit europe twice a year. i am a descendant of christopher columbus. i have a weakness for fish and chips.,probably high,no clues,no clues,probably low,no clues
203,i live in alaska. i am a buddhist. i quit my job to pursue my spirituality full time. i like meditation.,probably high,no clues,probably low,no clues,probably low
3,i love to drink fancy tea. i have a big library at home. i am a museum tour guide. i am partly deaf.,probably high,probably high,no clues,probably high,no clues
206,i am a recovering alcoholic. i grew up on a farm. i now live in the city. i am a 45 year old male. i take many medications and some of them make me see things.,no clues,probably low,no clues,no clues,probably high
9,i have a pet turtle. i like to play with my dolls. i do not pick up my toys. my best friend lives next door.,no clues,probably low,no clues,probably high,no clues
347,i am not a good swimmer at all. i love rollercoasters and sky diving. hello i just moved here from germany. i am a vegan and i love hummus.,probably low,no clues,probably low,probably low,no clues
297,i am a 45 year old male. i am a recovering alcoholic. i take many medications and some of them make me see things. i now live in the city.,no clues,probably low,no clues,probably high,probably high
67,i am in college to become a nurse. i work at a bar at night to pay for college. i have blonde hair and blue eyes. i recently got an apartment with my best friend. i do not like chicken.,no clues,probably high,no clues,no clues,no clues
308,i faint at the sight of blood. i have an internet addiction and spend a lot of time playing roleplaying games. my dream in life is to work from home. i dye my hair every three months.,probably high,no clues,no clues,probably low,no clues
100,i had to have a transplant. i am a boy. i was born with my heart outside my body. i can move objects with my mind.,probably high,no clues,no clues,no clues,no clues
126,i like to take walks. i do not drink soda. i have a boyfriend. i like to eat hamburgers and french fries.,no clues,probably high,no clues,probably low,no clues
59,my pets name is charlie. i produce music for artists. i drive a 2015 honda civic. i listen to rap music. my favourite food is pizza.,no clues,probably high,no clues,no clues,probably low
177,i am studying to be a computer programmer. i am a swim coach at my local pool. my favorite music genre is death metal. my family and i are from india.,no clues,probably high,no clues,probably high,no clues
282,i am very strong for my age. i am 100 years old. i feel like i might live forever. i remember when nobody had a television.,no clues,probably high,no clues,no clues,probably low
12,i am a gold medalist olympian. gymnastics is my favorite sport. my favorite color is yellow. i love italian food and garlic bread. i workout four hours a day.,probably low,probably high,no clues,no clues,no clues
112,i love to sing songs from the movie frozen. i play with my friends on the playground. i am in the third grade. i love to go to disney world every year.,no clues,probably low,probably high,no clues,probably low
408,i am married. i am a vegetarian. my favorite color is blue. i am a woman.,no clues,probably high,no clues,probably high,no clues
383,i was raised on a horse farm. my family has raised horses for a generations. i dream of moving to the city. i want to be a lawyer.,probably high,probably high,probably high,probably high,probably high
285,i dye my hair every three months. my dream in life is to work from home. i have an internet addiction and spend a lot of time playing roleplaying games. i went to school to be a veterinarian but hated it.,probably high,probably low,no clues,no clues,probably high
352,i have an allergy to water. i am working on a building a robot to be my body double. i am a recluse. i helped design the game starcraft.,probably high,no clues,probably low,no clues,no clues
309,i enjoy mountain biking as a hobby. my father was a construction worker. i do not drink alcohol. i hate the color pink.,probably high,no clues,no clues,probably low,no clues
290,my favorite band is the insane clown posse. i play a lot of call of duty. i drive a ford pinto. on weekends i do live action roleplaying events.,probably low,no clues,probably low,no clues,no clues
346,i am a vegan and i love hummus. i do like watching cooking shows. i love rollercoasters and sky diving. i am not a good swimmer at all.,probably high,no clues,probably low,no clues,no clues
174,i live in alabama. i like tacos. i have one brother. i have three sisters.,no clues,probably low,no clues,probably high,no clues
176,i have zero family that i am close to. my name is george. my favorite food is papaya. i am a bee farmer.,no clues,probably high,no clues,no clues,probably low
250,i am a construction worker. in my free time i like to watch nascar racing and ufc. my favorite food is mexican food. i have been working since i was sixteen years old.,no clues,probably high,no clues,no clues,no clues
131,on weekends i do live action roleplaying events. i like donuts. i drive a ford pinto. i play a lot of call of duty.,probably high,no clues,probably low,no clues,no clues
280,i am not a good swimmer at all. i am a vegan and i love hummus. hello i just moved here from germany. i love rollercoasters and sky diving. i do like watching cooking shows.,probably high,no clues,probably high,no clues,probably low
178,my favorite food is mexican food. i am a construction worker. in my free time i like to watch nascar racing and ufc. my favorite band is aerosmith.,probably low,no clues,probably low,no clues,no clues
358,my favorite way to relax is to read a book. i walk three miles every day. i am a baby delivery nurse. i love to spend time with my family.,probably high,probably high,no clues,probably high,no clues
39,i do like watching cooking shows. i love rollercoasters and sky diving. hello i just moved here from germany. i am a vegan and i love hummus.,probably high,no clues,probably high,probably high,no clues
405,i am a piano teacher on the side. i enjoy exploring new parts of the city. my father played violin professionally. i play several instruments.,probably high,no clues,no clues,no clues,probably low
268,i work took i have a part time job at burger king. i do not drink or do drugs or anything. they are constantly on my back. i just want to have fun with my friends.,probably low,no clues,no clues,probably low,no clues
123,i have three dogs. my father was a door to door salesman. i like to watch the olympics. i am in an open polyamorous relationship. i also have a dog walking business.,probably high,no clues,no clues,probably high,no clues
303,i like to look at blocks and sing about letters. i am four years old. i like to talk but people have a hard time understanding. when i grow up i want to be a dog.,probably low,no clues,probably low,probably high,no clues
93,i am pregnant with my first child. i live with my husband in pennsylvania. i read a book every week. i started a new job as a pa three months ago.,no clues,probably high,no clues,probably high,no clues
33,i have one brother. i have three sisters. i love dogs. i live in alabama.,no clues,probably high,no clues,no clues,no clues
368,my parents taught me survival skills. i walk dogs for a living. i am an avid kayaker. i am also a graduate student.,probably high,no clues,probably low,no clues,no clues
253,i am a doctor. my daughter is a child prodigy. i am now looking for a new job. i enjoy going to the park.,probably low,probably high,no clues,probably high,no clues
189,i do not care about fashion. i went to school for chemistry but work in a bookstore. i dance on the weekends. i compete in dog agility classes.,probably low,no clues,no clues,probably high,no clues
278,i never broke a bone in my body ever in my life. i was raised in a single parent household. i read twenty books a year. i am a stunt double as my second job.,probably high,no clues,probably low,no clues,probably low
85,i have short hair. two dogs live with me. i like doing the treadmill and rowing machine. eating is something i do when i am bored.,no clues,probably high,probably low,no clues,probably low
231,i have rainbow hair. i spend my time bird watching with my cats. i am an animal activist. my age is too old to say.,probably high,no clues,probably low,probably high,no clues
235,i am a cancer survivor. my parents were both very athletic. i got a new job just yesterday to be a life coach. i am a clean eater.,probably high,probably high,no clues,probably high,probably low
109,i married a super model from italy. i have zero family that i am close to. my name is george. i am a bee farmer. my favorite food is papaya.,probably low,probably high,no clues,probably high,probably low
252,a already have a children. i work at a bank. i am expecting twins in two months. i am an omnivore. i just bought my first home.,no clues,probably high,no clues,no clues,no clues
238,i have three arabian horses. i help tend the fields. my father is a farmer. i like to ride horses. i like to listen to rock music while working.,probably low,probably high,no clues,probably high,probably low
210,i just moved into my first home. i am expecting triplets in three months. i work at a school. i recently moved to this country. a already have a step children.,no clues,probably high,no clues,probably high,no clues
113,my favorite color is yellow. i workout four hours a day. gymnastics is my favorite sport. i am a gold medalist olympian.,no clues,probably high,no clues,probably low,no clues
328,my favorite color is orange. i just broke up with boyfriend two months ago. i have a pet fish. i turned 18 years old yesterday.,probably low,no clues,probably low,no clues,probably high
90,i was forced to marry when i was a. my aunt helped me escape when i was of. i was born in somalia. now i live in the united states.,probably low,no clues,probably low,probably high,probably high
266,my favorite band is rascal flats. we spent summers ring at national parks. i grew up in the industry. i am a country music singer.,no clues,probably high,probably high,no clues,probably low
153,my next language to study is french. one of the languages that i am currently studying is spanish. my favorite spanish word is trabajo. i am a musician.,probably high,no clues,no clues,no clues,no clues
339,i like to go to country concerts on weekends. i like to work on vintage cars. i have two dogs. my favorite music is country.,no clues,probably low,probably high,no clues,probably low
340,i recently moved to this country. i am expecting triplets in three months. i work at a school. i just moved into my first home.,no clues,probably high,no clues,probably high,no clues
